,repository_name,languages
0,app-store-server-library-java,app-store-server-library-java
1,app-store-server-library-node,app-store-server-library-node
2,app-store-server-library-python,app-store-server-library-python
3,app-store-server-library-swift,app-store-server-library-swift
4,apple-llvm-infrastructure-tools,apple-llvm-infrastructure-tools
5,apple_rules_lint,apple_rules_lint
6,ARKitScenes,ARKitScenes
7,AudioUnit-Examples,AudioUnit-Examples
8,AudioUnitSDK,AudioUnitSDK
9,axlearn,axlearn
10,batch-processing-gateway,batch-processing-gateway
11,ccs-caldavclientlibrary,ccs-caldavclientlibrary
12,ccs-caldavtester,ccs-caldavtester
13,ccs-calendarserver,ccs-calendarserver
14,ccs-pycalendar,ccs-pycalendar
15,ccs-pykerberos,ccs-pykerberos
16,ccs-pyopendirectory,ccs-pyopendirectory
17,ccs-pyosxframeworks,ccs-pyosxframeworks
18,ccs-pysecuretransport,ccs-pysecuretransport
19,ccs-twistedextensions,ccs-twistedextensions
20,coremltools,coremltools
21,cups,cups
22,darwin-libplatform,darwin-libplatform
23,darwin-libpthread,darwin-libpthread
24,darwin-xnu,darwin-xnu
25,device-management,device-management
26,dnikit,dnikit
27,example-package-dealer,example-package-dealer
28,example-package-deckofplayingcards,example-package-deckofplayingcards
29,example-package-figlet,example-package-figlet
30,example-package-fisheryates,example-package-fisheryates
31,example-package-playingcard,example-package-playingcard
32,FHIRModels,FHIRModels
33,foundationdb,foundationdb
34,fstools,fstools
35,GCGC,GCGC
36,homebrew-apple,homebrew-apple
37,HomeKitADK,HomeKitADK
38,indexstore-db,indexstore-db
39,learning-compressible-subspaces,learning-compressible-subspaces
40,learning-subspaces,learning-subspaces
41,llvm-monorepo-root,llvm-monorepo-root
42,llvm-project,llvm-project
43,llvm-project-v5,llvm-project-v5
44,llvm-project-v5-split,llvm-project-v5-split
45,MaterialX,MaterialX
46,ml-afv,ml-afv
47,ml-all-pairs,ml-all-pairs
48,ml-ane-transformers,ml-ane-transformers
49,ml-aspanformer,ml-aspanformer
50,ml-autofocusformer,ml-autofocusformer
51,ml-autofocusformer-segmentation,ml-autofocusformer-segmentation
52,ml-batchquant,ml-batchquant
53,ml-calibration,ml-calibration
54,ml-capsules-inverted-attention-routing,ml-capsules-inverted-attention-routing
55,ml-cifar-10-faster,ml-cifar-10-faster
56,ml-code-switched-speech-translation,ml-code-switched-speech-translation
57,ml-collegial-ensembles,ml-collegial-ensembles
58,ml-core,ml-core
59,ml-covid-mobility,ml-covid-mobility
60,ml-cread,ml-cread
61,ml-cvnets,ml-cvnets
62,ml-cvpr2019-swd,ml-cvpr2019-swd
63,ml-dab,ml-dab
64,ml-data-parameters,ml-data-parameters
65,ml-destseg,ml-destseg
66,ml-dms-dataset,ml-dms-dataset
67,ml-dprecs,ml-dprecs
68,ml-dr,ml-dr
69,ml-duet,ml-duet
70,ml-entropy-reconstruction,ml-entropy-reconstruction
71,ml-envmapnet,ml-envmapnet
72,ml-equivariant-neural-rendering,ml-equivariant-neural-rendering
73,ml-facelit,ml-facelit
74,ml-fastvit,ml-fastvit
75,ml-fct,ml-fct
76,ml-finerecon,ml-finerecon
